date,status,fulfilment,sales_channel,ship_service_level,style,sku,category,size,qty,amount,ship_state,b2b,fulfilled_by
2022-05-01,shipped,amazon,amazon.in,expedited,nw020,nw020_st_sr_xs,set,xs,1,541.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0014,j0014_lcd_m,set,m,1,1199.0,bihar,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set187,set187_kr_dh_xl,set,xl,1,599.0,delhi,False,
2022-05-01,shipped,amazon,amazon.in,expedited,men5012,men5012_kr_xxxl,kurta,3xl,1,499.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3892,jne3892_tp_xxxl,top,3xl,1,751.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0159,j0159_dr_m,western_dress,m,1,599.0,punjab,False,
2022-05-01,shipped,amazon,amazon.in,expedited,set331,set331_kr_np_xxl,set,xxl,1,635.0,tamil_nadu,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3294,jne3294_kr_xl,kurta,xl,1,432.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,standard,jne3568,jne3568_kr_xl,kurta,xl,1,399.0,karnataka,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0003,j0003_set_xxxl,set,3xl,1,696.0,telangana,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0026,j0026_kr_s,kurta,s,1,318.0,maharashtra,False,
2022-05-01,shipped_delivered_to_buyer,merchant,amazon.in,standard,men5029,men5029_kr_xl,kurta,xl,1,0.0,kerala,False,easy_ship
2022-05-01,shipped,amazon,amazon.in,expedited,set363,set363_kr_np_l,set,l,1,1338.0,maharashtra,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne2014,jne2014_kr_178_m,kurta,m,1,353.0,andhra_pradesh,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0250,j0250_skd_xl,set,xl,1,763.0,gujarat,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,jne3567,jne3567_kr_xxl,kurta,xxl,1,399.0,andhra_pradesh,False,
2022-05-01,cancelled,amazon,amazon.in,expedited,j0308,j0308_dr_xxxl,western_dress,3xl,0,,tamil_nadu,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3864,jne3864_tu_l,top,l,1,599.0,west_bengal,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3567,jne3567_kr_l,kurta,l,1,399.0,west_bengal,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0104,j0104_kr_xs,kurta,xs,1,446.0,west_bengal,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3794,jne3794_kr_s,kurta,s,1,517.0,gujarat,False,
2022-05-01,shipped,amazon,amazon.in,expedited,j0247,j0247_skd_xxl,set,xxl,1,820.0,west_bengal,False,
2022-05-01,shipped,amazon,amazon.in,expedited,jne3546,jne3546_kr_xxl,kurta,xxl,1,487.0,telangana,False,
